representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
RS21_ECOLI;;30S ribosomal protein S21 OS=Escherichia coli (strain K12) OX=83333 GN=rpsU PE=1 SV=2;71;8494.726;25.35;2;7360;8656;9394;54898;35245;37924
C8Z452_YEAS8;;Sro9p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1C17_0331g PE=4 SV=1;434;48030.805;25.35;8;175241;155532;152995;58689;58870;62446
MAK16_HUMAN;;Protein MAK16 homolog OS=Homo sapiens OX=9606 GN=MAK16 PE=1 SV=2;300;35346.706;25.33;5;68969;65425;65547;70272;69210;68214
JUPI1_HUMAN;;Jupiter microtubule associated homolog 1 OS=Homo sapiens OX=9606 GN=JPT1 PE=1 SV=3;154;16004.911;25.32;3;234178;231409;255892;252524;256984;231616
MANA_ECOLI;;Mannose-6-phosphate isomerase OS=Escherichia coli (strain K12) OX=83333 GN=manA PE=1 SV=1;391;42823.004;25.32;6;33097;32960;25239;145709;142059;143059
YEAG_ECOLI;;Uncharacterized protein YeaG OS=Escherichia coli (strain K12) OX=83333 GN=yeaG PE=3 SV=1;644;74433.584;25.31;11;60521;84773;91234;398998;418100;393384
SMC3_HUMAN;;Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2;1217;141453.836;25.31;24;536071;517545;543231;427063;472108;374766
EXOS4_HUMAN;;Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=3;245;26366.493;25.31;4;84830;84192;76355;90709;86181;90324
CAPG_HUMAN;;Macrophage-capping protein OS=Homo sapiens OX=9606 GN=CAPG PE=1 SV=2;348;38474.473;25.29;6;293910;301899;308200;280775;312150;297788
DPYL3_HUMAN;;Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1;570;61924.095;25.26;9;86404;176213;140530;117451;115646;81921
TFR1_HUMAN;;Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2;760;84817.944;25.26;16;541331;515398;564632;526110;519993;507096
GTF2I_HUMAN;;General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2;998;112346.077;25.25;21;525292;515854;494876;497887;521045;453618
CLPX_ECOLI;;ATP-dependent Clp protease ATP-binding subunit ClpX OS=Escherichia coli (strain K12) OX=83333 GN=clpX PE=1 SV=2;424;46327.183;25.24;6;19987;24791;23892;120214;117729;110601
YEGV_ECOLI;;Uncharacterized sugar kinase YegV OS=Escherichia coli (strain K12) OX=83333 GN=yegV PE=3 SV=1;321;34363.618;25.23;5;19850;25317;14415;125677;127495;119061
PGP_HUMAN;;Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1;321;33984.508;25.23;5;106923;110879;112091;91976;88705;90677
LRC47_HUMAN;;Leucine-rich repeat-containing protein 47 OS=Homo sapiens OX=9606 GN=LRRC47 PE=1 SV=1;583;63433.735;25.21;12;199817;198189;191523;208954;220681;199054
IF4B_HUMAN;;Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2;611;69110.285;25.2;11;327826;373089;302348;354101;360848;366280
YEEZ_ECOLI;;Protein YeeZ OS=Escherichia coli (strain K12) OX=83333 GN=yeeZ PE=1 SV=1;274;29661.162;25.18;3;7648;8914;8310;35696;34725;34298
CTBP2_HUMAN;;C-terminal-binding protein 2 OS=Homo sapiens OX=9606 GN=CTBP2 PE=1 SV=1;445;48914.114;25.17;7;103916;112288;107579;99504;82089;82673
HLDE_ECOLI;;Bifunctional protein HldE OS=Escherichia coli (strain K12) OX=83333 GN=hldE PE=1 SV=1;477;51018.719;25.16;7;33463;19775;15132;244519;241331;209610
PHOL_ECOLI;;PhoH-like protein OS=Escherichia coli (strain K12) OX=83333 GN=ybeZ PE=1 SV=2;346;39014.544;25.14;6;62503;71785;80581;354581;363116;312430
CHMP5_HUMAN;;Charged multivesicular body protein 5 OS=Homo sapiens OX=9606 GN=CHMP5 PE=1 SV=1;219;24555.354;25.11;3;151883;138176;125681;137746;145096;141036
PSME2_HUMAN;;Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4;239;27384.316;25.1;5;221425;191475;242737;173119;178305;197493
ACTZ_HUMAN;;Alpha-centractin OS=Homo sapiens OX=9606 GN=ACTR1A PE=1 SV=1;376;42586.906;25.0;6;238545;237348;265497;240265;233068;232316
SYY_ECOLI;;Tyrosine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=tyrS PE=1 SV=2;424;47497.062;25.0;6;98789;81972;77956;339189;374193;344252
CD59_HUMAN;;CD59 glycoprotein OS=Homo sapiens OX=9606 GN=CD59 PE=1 SV=1;128;14167.793;25.0;4;217180;309090;336014;325872;314273;322083
FHL3_HUMAN;;Four and a half LIM domains protein 3 OS=Homo sapiens OX=9606 GN=FHL3 PE=1 SV=4;280;31170.603;25.0;4;53242;59766;47516;51419;55807;49811
UBQL1_HUMAN;;Ubiquilin-1 OS=Homo sapiens OX=9606 GN=UBQLN1 PE=1 SV=2;589;62479.436;24.96;8;55298;58935;58092;62727;57530;61166
PYR1_HUMAN;;CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3;2225;242829.456;24.94;39;930205;896284;915882;789548;818593;821472
UBXN1_HUMAN;;UBX domain-containing protein 1 OS=Homo sapiens OX=9606 GN=UBXN1 PE=1 SV=2;297;33304.94;24.92;3;159071;160105;158227;135153;145742;133004
PYRH_ECOLI;;Uridylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=pyrH PE=1 SV=2;241;25953.542;24.9;5;29661;21621;25605;161335;142735;146416
TBL1R_HUMAN;;F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1;514;55560.079;24.9;7;168628;168816;155737;141311;163342;159051
GARS_HUMAN;;Glycine--tRNA ligase OS=Homo sapiens OX=9606 GN=GARS PE=1 SV=3;739;83112.61;24.9;16;501295;431382;456322;457235;426411;429344
FUS_HUMAN;;RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1;526;53393.791;24.9;10;869442;840390;792296;933676;884534;969750
MPCP_HUMAN;;Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=2;362;40068.737;24.86;11;621748;534141;554991;614143;660117;565294
PIR_HUMAN;;Pirin OS=Homo sapiens OX=9606 GN=PIR PE=1 SV=1;290;32093.256;24.83;5;172871;171020;160298;165062;125551;167613
RL28_HUMAN;;60S ribosomal protein L28 OS=Homo sapiens OX=9606 GN=RPL28 PE=1 SV=3;137;15737.671;24.82;4;597903;588729;578726;615822;579331;635432
MBB1A_HUMAN;;Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2;1328;148761.627;24.77;25;574819;580118;711711;645249;619246;619127
MYOF_HUMAN;;Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1;2061;234560.602;24.7;36;605743;591764;593443;494519;504126;562541
C8ZHI9_YEAS8;;Rpl25p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_0386g PE=3 SV=1;142;15747.751;24.65;4;626875;624793;627139;386662;379976;377394
AT5F1_HUMAN;;ATP synthase F(0) complex subunit B1, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PB PE=1 SV=2;256;28890.336;24.61;6;229713;153059;148331;148453;225833;250294
TKT2_ECOLI;;Transketolase 2 OS=Escherichia coli (strain K12) OX=83333 GN=tktB PE=1 SV=1;667;72996.843;24.59;10;121266;138264;132802;452181;492304;481090
CPNE3_HUMAN;;Copine-3 OS=Homo sapiens OX=9606 GN=CPNE3 PE=1 SV=1;537;60092.127;24.58;8;230526;199477;203422;142604;181761;169006
MPPA_HUMAN;;Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2;525;58215.602;24.57;10;225987;233592;185694;220190;253642;191489
THTM_ECOLI;;3-mercaptopyruvate sulfurtransferase OS=Escherichia coli (strain K12) OX=83333 GN=sseA PE=1 SV=3;281;30792.61;24.56;4;18852;16629;17833;104736;110428;105115
TMED7_HUMAN;;Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens OX=9606 GN=TMED7 PE=1 SV=2;224;25155.567;24.55;4;137743;135442;129010;134693;144407;135526
C8Z454_YEAS8;;Grx1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1C17_0353g PE=4 SV=1;110;12372.406;24.55;2;72024;87253;81313;46450;47365;50103
ASPH_HUMAN;;Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3;758;85809.447;24.54;12;563154;534613;595288;444221;474885;497307
PEPD_ECOLI;;Cytosol non-specific dipeptidase OS=Escherichia coli (strain K12) OX=83333 GN=pepD PE=1 SV=3;485;52882.154;24.54;9;73895;80092;85403;329562;340587;333030
C8ZH49_YEAS8;;Mbf1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_5336g PE=4 SV=1;151;16393.819;24.5;3;116761;112304;124263;41930;46864;47641
SAFB1_HUMAN;;Scaffold attachment factor B1 OS=Homo sapiens OX=9606 GN=SAFB PE=1 SV=4;915;102579.518;24.48;16;455072;461922;473289;492190;467862;512204
SF3B2_HUMAN;;Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2;895;100164.977;24.47;19;802024;741026;751119;830182;881161;855216
ARC1B_HUMAN;;Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3;372;40923.415;24.46;7;238721;256912;247355;243884;249712;245325
CALD1_HUMAN;;Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3;793;93175.427;24.46;17;724791;758670;767091;596855;675897;714810
COPD_HUMAN;;Coatomer subunit delta OS=Homo sapiens OX=9606 GN=ARCN1 PE=1 SV=1;511;57174.125;24.46;11;265750;273770;273900;249634;224979;267439
S10A6_HUMAN;;Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1;90;10173.343;24.44;3;905118;900687;853328;900911;906067;916023
C8ZCV6_YEAS8;;Dps1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_0507g PE=3 SV=1;557;63475.937;24.42;9;423463;460621;474463;199009;193272;190506
MAGD2_HUMAN;;Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;606;64914.36;24.42;8;248254;223743;233897;237391;235829;247929
SEPT9_HUMAN;;Septin-9 OS=Homo sapiens OX=9606 GN=SEPT9 PE=1 SV=2;586;65360.771;24.4;11;290586;271610;280439;377644;389874;369260
HPCL1_HUMAN;;Hippocalcin-like protein 1 OS=Homo sapiens OX=9606 GN=HPCAL1 PE=1 SV=3;193;22298.986;24.35;4;69309;67944;75873;62778;49211;69075
USPF_ECOLI;;Universal stress protein F OS=Escherichia coli (strain K12) OX=83333 GN=uspF PE=1 SV=2;144;16006.514;24.31;3;0;145625;131352;465828;443551;397969
1B08_HUMAN;1B08_HUMAN 1B42_HUMAN;HLA class I histocompatibility antigen, B-8 alpha chain OS=Homo sapiens OX=9606 GN=HLA-B PE=1 SV=1;362;40305.825;24.31;6;167189;208334;192904;176810;225010;204392
SSRD_HUMAN;;Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1;173;18986.606;24.28;3;322845;275863;323259;326749;370791;330730
C8Z8H8_YEAS8;;Mnp1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_2223g PE=3 SV=1;194;20713.185;24.23;4;67635;62832;65815;18325;23547;20404
HNRPD_HUMAN;;Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1;355;38410.303;24.23;10;1688875;1659229;1640822;1085976;1602388;1584768
SYMC_HUMAN;;Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS PE=1 SV=2;900;101051.906;24.22;13;304975;345039;267634;316688;287000;351877
FENR_ECOLI;;Flavodoxin/ferredoxin--NADP reductase OS=Escherichia coli (strain K12) OX=83333 GN=fpr PE=1 SV=4;248;27733.318;24.19;3;11708;12239;13640;52213;77761;77280
GLRX3_HUMAN;;Glutaredoxin-3 OS=Homo sapiens OX=9606 GN=GLRX3 PE=1 SV=2;335;37408.233;24.18;7;149743;158622;162819;152494;157242;157055
HSDL2_HUMAN;;Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1;418;45365.516;24.16;7;189120;224270;259733;262066;313812;286823
SURF4_HUMAN;;Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3;269;30373.783;24.16;5;248126;304963;365481;332197;351733;336149
DNPH1_HUMAN;;2'-deoxynucleoside 5'-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1;174;19096.587;24.14;3;30596;44020;46010;31760;30315;32643
RS20_ECOLI;;30S ribosomal protein S20 OS=Escherichia coli (strain K12) OX=83333 GN=rpsT PE=1 SV=2;87;9678.321;24.14;2;34248;2405;1949;110006;113279;127209
MIC60_YEAS8;;MICOS complex subunit MIC60 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=MIC60 PE=3 SV=1;539;60875.418;24.12;8;119842;160078;160449;51331;53099;68480
YCCU_ECOLI;;Uncharacterized protein YccU OS=Escherichia coli (strain K12) OX=83333 GN=yccU PE=1 SV=2;137;14691.76;24.09;2;16317;14348;14759;105244;119100;110286
BAMD_ECOLI;;Outer membrane protein assembly factor BamD OS=Escherichia coli (strain K12) OX=83333 GN=bamD PE=1 SV=1;245;27811.816;24.08;5;13100;12291;16172;54960;76364;71713
HXPA_ECOLI;;Hexitol phosphatase A OS=Escherichia coli (strain K12) OX=83333 GN=hxpA PE=1 SV=2;216;22993.113;24.07;3;12399;12037;10639;50044;48957;49105
HDEB_ECOLI;;Acid stress chaperone HdeB OS=Escherichia coli (strain K12) OX=83333 GN=hdeB PE=1 SV=1;108;12034.999;24.07;2;12472;16085;14658;67262;57257;54752
HNRDL_HUMAN;;Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;420;46409.087;24.05;10;710455;706480;750718;709424;726166;687061
LMNB2_HUMAN;;Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4;620;69905.698;24.03;15;340427;372636;348789;351677;336913;336224
ANM5_HUMAN;;Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4;637;72637.549;24.02;10;293147;305074;274864;292270;277955;290861
EFTS_HUMAN;;Elongation factor Ts, mitochondrial OS=Homo sapiens OX=9606 GN=TSFM PE=1 SV=2;325;35368.246;24.0;5;192834;193863;189231;83716;100703;107724
CMC2_HUMAN;;Calcium-binding mitochondrial carrier protein Aralar2 OS=Homo sapiens OX=9606 GN=SLC25A13 PE=1 SV=2;675;74128.643;24.0;12;458460;476758;450971;412057;431401;420704
HEXI1_HUMAN;;Protein HEXIM1 OS=Homo sapiens OX=9606 GN=HEXIM1 PE=1 SV=1;359;40598.477;23.96;5;128788;140092;135519;135672;116572;122315
SRSF7_HUMAN;;Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;238;27350.025;23.95;6;462008;534766;417869;495144;477420;345349
PIN1_HUMAN;;Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens OX=9606 GN=PIN1 PE=1 SV=1;163;18231.97;23.93;2;62601;62609;56685;57027;57512;56998
PARVA_HUMAN;;Alpha-parvin OS=Homo sapiens OX=9606 GN=PARVA PE=1 SV=1;372;42217.428;23.92;5;112483;109313;109363;113336;114527;116732
CSN8_HUMAN;;COP9 signalosome complex subunit 8 OS=Homo sapiens OX=9606 GN=COPS8 PE=1 SV=1;209;23210.969;23.92;3;106225;108335;97600;97110;98551;94106
C8ZF29_YEAS8;;Ald3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_3554g PE=3 SV=1;506;55354.351;23.91;10;328478;306332;299866;132706;141341;140740
SPCS2_HUMAN;;Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;226;24986.742;23.89;5;56306;99303;49247;62823;194823;190825
ASNA_HUMAN;;ATPase ASNA1 OS=Homo sapiens OX=9606 GN=ASNA1 PE=1 SV=2;348;38767.417;23.85;5;166412;123714;170740;156674;153992;182510
CIRBP_HUMAN;;Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1;172;18636.729;23.84;3;90277;92126;91845;85906;86335;80896
COPB2_HUMAN;;Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2;906;102422.484;23.84;16;492194;491262;495522;437066;425820;502497
C8ZH60_YEAS8;;Nop58p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_5479g PE=4 SV=1;508;56536.03;23.82;8;348299;374332;356679;134440;145131;129517
C8ZGU2_YEAS8;C8ZGU2_YEAS8 C8ZDQ1_YEAS8;40S ribosomal protein S30 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_4027g PE=3 SV=1;63;7114.051;23.81;2;134265;150893;138797;67845;73905;67085
UB2D3_HUMAN;UB2D3_HUMAN UB2D2_HUMAN;Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens OX=9606 GN=UBE2D3 PE=1 SV=1;147;16676.375;23.81;2;164573;167334;179275;153538;184408;168905
H2B2D_HUMAN;H2B2D_HUMAN H2B2C_HUMAN;Putative histone H2B type 2-D OS=Homo sapiens OX=9606 GN=HIST2H2BD PE=5 SV=3;164;18006.471;23.78;6;2318464;2141666;2145566;1998792;2267299;2205316
C8Z3H9_YEAS8;;Erp1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1A20_0870g PE=3 SV=1;219;24707.741;23.74;4;86873;74380;75609;26757;7692;28187
USG_ECOLI;;USG-1 protein OS=Escherichia coli (strain K12) OX=83333 GN=usg PE=1 SV=1;337;36341.483;23.74;4;4104;1554;1763;55718;61424;60665
C8ZET6_YEAS8;;Adh3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_2509g PE=3 SV=1;375;40344.031;23.73;8;241897;236535;246157;88489;94543;97077
DRG1_HUMAN;;Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1;367;40516.823;23.71;7;170847;190967;194018;205357;155888;199335
PAL_ECOLI;;Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) OX=83333 GN=pal PE=1 SV=1;173;18812.24;23.7;3;12741;46682;46389;259777;261386;260163
FIS1_HUMAN;;Mitochondrial fission 1 protein OS=Homo sapiens OX=9606 GN=FIS1 PE=1 SV=2;152;16927.018;23.68;3;83079;81699;77762;57133;64015;67322
ARL3_HUMAN;;ADP-ribosylation factor-like protein 3 OS=Homo sapiens OX=9606 GN=ARL3 PE=1 SV=2;182;20442.759;23.63;3;51532;62507;58998;64414;54373;56728
GUAA_ECOLI;;GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) OX=83333 GN=guaA PE=1 SV=1;525;58641.877;23.62;8;82208;90589;88671;457578;438665;425792
ARPC3_HUMAN;;Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3;178;20533.375;23.6;4;99746;96301;106869;112239;99278;94874
C8ZH16_YEAS8;;Tubulin-specific chaperone A OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_4951g PE=3 SV=1;106;12357.421;23.58;2;92466;80983;81499;41335;42663;42307
RAB6A_HUMAN;;Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A PE=1 SV=3;208;23577.918;23.56;4;127837;133773;142691;137612;129285;141472
EXOS2_HUMAN;;Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2;293;32768.127;23.55;4;86193;89638;74166;86600;101097;99534
EIF3F_HUMAN;;Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1;357;37540.151;23.53;7;156314;151697;147303;170550;130278;171410
PPID_HUMAN;;Peptidyl-prolyl cis-trans isomerase D OS=Homo sapiens OX=9606 GN=PPID PE=1 SV=3;370;40737.9;23.51;9;20304;46235;43958;61780;34814;55306
RRP44_HUMAN;;Exosome complex exonuclease RRP44 OS=Homo sapiens OX=9606 GN=DIS3 PE=1 SV=2;958;108933.926;23.49;14;269995;289386;282928;269681;262500;265140
C8Z4H5_YEAS8;;Abp1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1C17_1750g PE=4 SV=1;592;65458.327;23.48;8;199440;203564;186298;94635;83804;74279
S10AD_HUMAN;;Protein S100-A13 OS=Homo sapiens OX=9606 GN=S100A13 PE=1 SV=1;98;11464.09;23.47;2;69065;76746;82223;69524;83101;69740
PTPA_HUMAN;;Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens OX=9606 GN=PTPA PE=1 SV=3;358;40641.437;23.46;5;160216;153166;148850;146413;123803;146102
ESYT1_HUMAN;;Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1;1104;122779.948;23.46;16;346740;335182;335813;275340;292971;309047
PCBP3_HUMAN;;Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=2 SV=2;371;39440.291;23.45;8;115181;117710;114401;122561;122362;123120
IF5_HUMAN;;Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2;431;49191.805;23.43;9;356543;354878;344923;284591;230879;246978
C8ZDR6_YEAS8;;Met17p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_1629g PE=3 SV=1;444;48641.698;23.42;10;522537;513257;531625;268028;269935;270541
RRBP1_HUMAN;;Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;1410;152364.681;23.4;24;435274;725784;740719;411403;387437;694036
NDUS1_HUMAN;;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS1 PE=1 SV=3;727;79416.541;23.38;10;177956;178055;174225;166997;177204;180056
UB2L3_HUMAN;;Ubiquitin-conjugating enzyme E2 L3 OS=Homo sapiens OX=9606 GN=UBE2L3 PE=1 SV=1;154;17850.239;23.38;2;48556;50857;52287;54133;49195;51786
TMED2_HUMAN;;Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens OX=9606 GN=TMED2 PE=1 SV=1;201;22746.38;23.38;5;151927;126319;129051;140586;173447;183289
RAGP1_HUMAN;;Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1;587;63502.304;23.34;11;311011;345625;272442;299822;328688;330231
ELAV1_HUMAN;;ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2;326;36069.15;23.31;6;180129;206783;211438;284266;152004;214357
PTSN_ECOLI;;Nitrogen regulatory protein OS=Escherichia coli (strain K12) OX=83333 GN=ptsN PE=1 SV=1;163;17948.439;23.31;2;2319;2433;2394;46525;46652;45484
ATP5L_HUMAN;;ATP synthase subunit g, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MG PE=1 SV=3;103;11421.243;23.3;2;118496;69191;65265;132551;67205;113840
AN32A_HUMAN;;Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1;249;28568.282;23.29;6;701548;491695;659173;436975;614895;580676
1A24_HUMAN;1A23_HUMAN 1A24_HUMAN 1A02_HUMAN;HLA class I histocompatibility antigen, A-24 alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2;365;40663.031;23.29;5;0;0;0;0;89881;6670
COPA_HUMAN;;Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2;1224;138257.887;23.28;21;517707;550882;508069;582050;643254;606686
C8ZDY7_YEAS8;;Fbp1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_2520g PE=3 SV=1;348;38238.446;23.28;5;84218;88590;92524;36263;36363;32726
SAP_HUMAN;;Prosaposin OS=Homo sapiens OX=9606 GN=PSAP PE=1 SV=2;524;58073.849;23.28;12;687379;769447;698244;621768;624355;708755
PPID_ECOLI;;Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) OX=83333 GN=ppiD PE=1 SV=1;623;68107.762;23.27;10;62539;76346;33828;349060;365327;323469
CSK2B_HUMAN;;Casein kinase II subunit beta OS=Homo sapiens OX=9606 GN=CSNK2B PE=1 SV=1;215;24926.002;23.26;4;163711;173361;156964;143193;147463;152693
ORN_HUMAN;;Oligoribonuclease, mitochondrial OS=Homo sapiens OX=9606 GN=REXO2 PE=1 SV=3;237;26815.599;23.21;4;62648;71084;54387;55595;50404;60643
AROB_ECOLI;;3-dehydroquinate synthase OS=Escherichia coli (strain K12) OX=83333 GN=aroB PE=1 SV=1;362;38856.318;23.2;4;0;4691;3742;52019;39177;52814
TIM13_HUMAN;;Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1;95;10492.995;23.16;2;33585;28880;29594;27522;28806;30552
C8Z4U3_YEAS8;;Ses1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_2652g PE=4 SV=1;462;53262.067;23.16;7;327729;369922;353731;105631;118897;128565
EX3_ECOLI;;Exodeoxyribonuclease III OS=Escherichia coli (strain K12) OX=83333 GN=xthA PE=1 SV=4;268;30949.54;23.13;3;5909;5080;6903;35482;32513;36558
AAAT_HUMAN;;Neutral amino acid transporter B(0) OS=Homo sapiens OX=9606 GN=SLC1A5 PE=1 SV=2;541;56562.252;23.11;8;437653;430752;384440;417890;439273;463521
C8ZGY3_YEAS8;;Wtm1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_4566g PE=4 SV=1;437;48353.03;23.11;7;236129;256781;268547;151033;143740;109693
PFKAM_HUMAN;;ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2;780;85128.389;23.08;10;144969;197167;161059;190931;189363;181652
